clientid,Publisher taxonomyid,Publisher taxonomytext,globaltaxonomyid,Global taxonomytext,score
303,3130253,Breakroom,151089,Cameras & Optics|Photography|Darkroom,far
303,3130254,Breakroom|Appliances,153063,Home & Garden|Kitchen & Dining|Kitchen Appliances,exact
303,3131351,Breakroom|Appliances|Air Conditioners,152805,Home & Garden|Household Appliances|Climate Control|Air Conditioners,exact
303,3131352,Breakroom|Appliances|Air Conditioners|Air Conditioners,152805,Home & Garden|Household Appliances|Climate Control|Air Conditioners,exact
303,3130255,Breakroom|Appliances|Air Purifiers & Filters,152768,Home & Garden|Household Appliance Accessories|Air Purifier Accessories|Air Purifier Filters,exact
303,3130256,Breakroom|Appliances|Air Purifiers & Filters|Air Purifiers & Filters,152768,Home & Garden|Household Appliance Accessories|Air Purifier Accessories|Air Purifier Filters,exact
303,3130257,Breakroom|Appliances|Blenders & Food Processors,153065,Home & Garden|Kitchen & Dining|Kitchen Appliances|Blenders,exact
303,3130258,Breakroom|Appliances|Blenders & Food Processors|Blenders & Food Processors,153065,Home & Garden|Kitchen & Dining|Kitchen Appliances|Blenders,exact
303,3130761,Breakroom|Appliances|Cabinets & Storage,198572,Furniture|Cabinets & Storage,exact
303,3130762,Breakroom|Appliances|Cabinets & Storage|Cabinets & Storage,198572,Furniture|Cabinets & Storage,exact
